id,dominio,t,R,t_unidad
H03_Azteca_1521,H,0.0,0.05,decadas
H03_Azteca_1521,H,0.2,0.3,decadas
H03_Azteca_1521,H,0.5,0.75,decadas
H03_Azteca_1521,H,1.0,1.2,decadas
H03_Azteca_1521,H,2.0,1.85,decadas
H03_Azteca_1521,H,5.0,3.4,decadas
H03_Azteca_1521,H,10.0,5.2,decadas
H03_Azteca_1521,H,20.0,8.1,decadas
H04_Cartago_146AC,H,0.0,0.6,decadas
H04_Cartago_146AC,H,0.3,0.85,decadas
H04_Cartago_146AC,H,0.5,1.0,decadas
H04_Cartago_146AC,H,1.0,1.35,decadas
H04_Cartago_146AC,H,2.0,1.62,decadas
H04_Cartago_146AC,H,5.0,2.1,decadas
H04_Cartago_146AC,H,10.0,2.85,decadas
I01_PanAm_1991,I,0.0,0.0,años
I01_PanAm_1991,I,1.0,0.45,años
I01_PanAm_1991,I,2.0,0.72,años
I01_PanAm_1991,I,3.0,0.85,años
I01_PanAm_1991,I,5.0,0.93,años
I01_PanAm_1991,I,8.0,0.97,años
I02_Polaroid_2001,I,0.0,0.0,años
I02_Polaroid_2001,I,1.0,0.35,años
I02_Polaroid_2001,I,2.0,0.58,años
I02_Polaroid_2001,I,4.0,0.72,años
I02_Polaroid_2001,I,6.0,0.8,años
I02_Polaroid_2001,I,8.0,0.85,años
I03_Kodak_2012,I,0.0,0.05,años
I03_Kodak_2012,I,2.0,0.12,años
I03_Kodak_2012,I,5.0,0.28,años
I03_Kodak_2012,I,8.0,0.52,años
I03_Kodak_2012,I,10.0,0.78,años
I03_Kodak_2012,I,12.0,1.05,años
I03_Kodak_2012,I,15.0,1.45,años
I04_Blockbuster_2010,I,0.0,0.05,años
I04_Blockbuster_2010,I,2.0,0.18,años
I04_Blockbuster_2010,I,4.0,0.52,años
I04_Blockbuster_2010,I,5.0,0.78,años
I04_Blockbuster_2010,I,6.0,1.2,años
I04_Blockbuster_2010,I,7.0,1.85,años
