,delta_H,alpha,F,ASI_raw,ASI,soberania,CSI_V3,cohort
user_0032,0.8056421487822866,0.6455442808656109,0.30868448226822026,1.6848196506320778,0.638061,False,46.292280418676675,Intermediate
user_0033,0.7947527411292489,0.2900156200079415,0.4168263927727868,0.5529657261824379,0.209415,False,30.86493985520906,Intermediate
user_0034,0.33196540999004864,0.3368622938037193,0.6032653917670715,0.18536887910174962,0.070201,False,39.43148169531497,Intermediate
user_0035,0.5537977536357759,0.5497503765924059,0.3034025159038982,1.0034541826730596,0.38002,False,49.385135774868594,Intermediate
user_0036,0.7845896552137295,0.4305962492165603,0.32445062519773193,1.0412720348535418,0.394342,False,46.93352898374002,Intermediate
user_0037,0.4178085669265586,0.3809232200123465,0.3713590996355246,0.4285689641605969,0.162304,False,31.12612452520588,Intermediate
user_0038,0.6059671818041131,0.22888159234128433,0.19108389555808442,0.7258316200473652,0.274881,False,50.273077115063444,Intermediate
user_0039,0.3417291266239581,0.5278808616430669,0.6996934244280734,0.257816151349771,0.097638,False,32.99859692175545,Intermediate
user_0040,0.5624158616486882,0.6872111241191261,0.2638934689429986,1.4646002345344369,0.554661,False,37.00085758800995,Intermediate
user_0041,0.4652064403408349,0.3975188823369587,0.6364808710162748,0.2905481572839212,0.110034,False,41.04851212536043,Intermediate
user_0042,0.48412597639417,0.5237043602998949,0.23150719252011254,1.0951663402425142,0.414752,False,21.55530955367421,Intermediate
user_0043,0.5837583518547255,0.3298126415714803,0.3958545745102575,0.4863677129481593,0.184193,False,40.49789810633043,Intermediate
user_0044,0.5012232561284012,0.3103931240952746,0.4631018230622681,0.3359439427600393,0.127226,False,39.78702066974982,Intermediate
user_0045,0.6320112269338097,0.22161808060577692,0.42468302556086024,0.3298109568881289,0.124903,False,50.44580109710469,Intermediate
user_0046,0.5516365313474286,0.46004747051402456,0.5907153140593082,0.42961302144950886,0.1627,False,31.731899427525242,Intermediate
user_0047,0.22368997658693215,0.5939763926666084,0.40766958265184094,0.32591728944922316,0.123429,False,27.71879240828065,Intermediate
user_0048,0.536803650315756,0.3771919752254956,0.3560994725390073,0.568599632364456,0.215335,False,36.15452294582123,Intermediate
user_0049,0.6085901416063131,0.2688250276420696,0.4658779089289414,0.35117411344130106,0.132994,False,43.74393938328695,Intermediate
user_0050,0.6199545283770362,0.23899567818362907,0.48137932482781187,0.3077956308270623,0.116566,False,39.22819254314441,Intermediate
user_0051,0.6126143374235652,0.5165814327573084,0.39502918531224923,0.8011185095192038,0.303393,False,23.975440191388103,Intermediate
user_0052,0.5879901143019303,0.4360524699583237,0.5645761706998536,0.45413631491850753,0.171987,False,31.524098672038868,Intermediate
user_0053,0.4177738755182359,0.4821649509205876,0.37934962177583204,0.5310033505297332,0.201097,False,21.29628748356373,Intermediate
user_0054,0.4939710441362287,0.3930404862902028,0.4288236674666199,0.4527516415956577,0.171462,False,45.615747286239824,Intermediate
user_0055,0.43732500196751556,0.5594520842251065,0.44800265717938575,0.5461181533495003,0.206821,False,50.7861396219302,Intermediate
user_0056,0.6101218080709593,0.3451768814255218,0.6195015877510271,0.3399506105612645,0.128743,False,20.64422817571373,Intermediate
user_0057,0.5319832905007316,0.38151478344784767,0.2768373388185291,0.733136255172222,0.277647,False,37.91538967789186,Intermediate
user_0058,0.6354023372668494,0.5643767386926378,0.3387222084880276,1.0587032378687955,0.400943,False,39.375281201506525,Intermediate
user_0059,0.44245755011103394,0.5133440116119293,0.572453739246971,0.39677080988371977,0.150262,False,34.79780371605217,Intermediate
user_0060,0.5240209912314654,0.535283160947652,0.5164512048535507,0.5431289731792601,0.205689,False,37.09841448764073,Intermediate
user_0061,0.44750029864329915,0.22372395734676456,0.5127438143429637,0.19525645151785684,0.073946,False,44.57284240583928,Intermediate
user_0062,0.7753302839001148,0.44481768330053095,0.2795450803856426,1.2337209447628867,0.467225,False,36.41412305156776,Intermediate
user_0063,0.7812447775536714,0.513914849315733,0.40369419040852833,0.9945481051607339,0.376647,False,52.10747682225623,Intermediate
user_0064,0.2814173572064532,0.4585726493111199,0.20789969831774424,0.6207334791754365,0.235079,False,38.47145671651634,Intermediate
user_0065,0.352380832406681,0.5421109967671294,0.24212322517545554,0.7889764567574479,0.298795,False,21.584679744424875,Intermediate
user_0066,0.3391299883935047,0.5987125971176657,0.6058736752437333,0.3351216671196,0.126915,False,53.3196877827226,Intermediate
user_0067,0.1930880931843868,0.2429199128610819,0.6906315054342801,0.06791601947172846,0.025721,False,24.28518526088996,Intermediate
user_0068,0.6741578898916973,0.32100996818676053,0.46343661367994604,0.4669708788620729,0.176847,False,47.24055640055722,Intermediate
user_0069,0.1839034935242093,0.628544934751381,0.3992100573190098,0.28955084477081594,0.109656,False,37.96860471298487,Intermediate
user_0070,0.3594220123366988,0.39253114006628836,0.33257794573879473,0.424214335541813,0.160655,False,45.672128353690155,Intermediate
user_0071,0.49518940834974795,0.13590331030845457,0.1701060454518714,0.3956230929103375,0.149827,False,37.4834758305291,Intermediate
user_0072,0.37960522236086874,0.16018671291997022,0.6528157448866209,0.09314682320936185,0.035276,False,21.122927211973877,Intermediate
user_0073,0.4566134259376191,0.3858835840616902,0.5465543900201076,0.32238260006476804,0.12209,False,32.4973334688237,Intermediate
user_0074,0.20583479051770961,0.4545487499111171,0.3014706829191622,0.31035172578664877,0.117534,False,41.34469535345894,Intermediate
user_0075,0.6435214961915761,0.2901083054339106,0.4860308308274409,0.38411335028397636,0.145468,False,41.639759867176394,Intermediate
user_0076,0.5272808411718869,0.3849251747655956,0.217677543835446,0.9324051822822378,0.353113,False,54.029599918616476,Intermediate
user_0077,0.42800353059245827,0.265502880216004,0.43767590210414176,0.2596354278784975,0.098327,False,40.827689141447905,Intermediate
user_0078,0.8027602784432772,0.39478911292624347,0.5616438902145535,0.5642739531947524,0.213697,False,29.31180873025484,Intermediate
user_0079,0.39116911283793665,0.1522765658763387,0.43192750889648546,0.1379071440298803,0.052227,False,20.56331764294573,Intermediate
user_0080,0.8007451130638917,0.4692458423191434,0.45684797603177946,0.8224756040868741,0.311481,False,47.382947240099135,Intermediate
user_0081,0.2913127623721318,0.45733129551966495,0.3108449424682821,0.4285945332073513,0.162314,False,51.014456432722824,Intermediate
user_0082,0.2476665408451268,0.6203313690836377,0.6432724585488239,0.23883398444456394,0.090449,False,41.090969453395125,Intermediate
user_0083,0.6536519073825402,0.5172373183202167,0.5461013272160281,0.6191033473824465,0.234462,False,36.36556969674213,Intermediate
user_0084,0.3913589318884194,0.5135330887852889,0.35593386014086204,0.56464355775771,0.213837,False,49.995514637890295,Intermediate
user_0085,0.5338010756469829,0.2469873568387919,0.3053980878908344,0.4317057702040352,0.163492,False,27.652818845309675,Intermediate
user_0086,0.6158990042726378,0.2772227961090991,0.6461199098265017,0.26425628043425975,0.100077,False,33.3543550104812,Intermediate
user_0087,0.6852715757512183,0.369258142344713,0.48736117644931487,0.5192085896276666,0.19663,False,37.27563595192328,Intermediate
user_0088,0.39168859089395736,0.40100502128528037,0.4112120114102604,0.38196620568052236,0.144655,False,20.777414207711892,Intermediate
user_0089,0.5129021062296616,0.3303785184333322,0.22193798593125352,0.7635098482419309,0.28915,False,43.788843825516366,Intermediate
user_0090,0.5057336197454099,0.5923667333729481,0.3090454804404576,0.9693711484099305,0.367112,False,25.788155182506742,Intermediate
user_0091,0.20212639134674712,0.08091216956983906,0.5871177388974402,0.02785554543437924,0.010549,False,30.99351465953984,Intermediate
user_0092,0.5287069759539015,0.35210434199485247,0.14790857139691238,1.2586155090145295,0.476653,False,33.92174130050576,Intermediate
user_0093,0.6031815638972188,0.23925120494792726,0.1695134969133804,0.8513299447685078,0.322409,False,41.98637186612011,Intermediate
user_0094,0.5917019644148873,0.6300944751580487,0.3341193181563221,1.1158532849140808,0.422587,False,21.357425364669137,Intermediate
user_0095,0.5578513973784074,0.45360699602355015,0.3696768467617701,0.6845040440291044,0.25923,False,31.271022523130554,Intermediate
user_0096,0.5772462489222949,0.381188065537361,0.5915968481829827,0.3719414355252425,0.140859,False,28.877022513007393,Intermediate
user_0097,0.6138209257241583,0.2602052563477456,0.3412267682849841,0.4680741552968419,0.177265,False,19.054699195995376,Intermediate
user_0098,0.3932166092937043,0.45356532993002796,0.5053893125047402,0.3528951181107398,0.133646,False,43.89952388386302,Intermediate
user_0099,0.7558437956414331,0.2256479639691565,0.5176846230904342,0.32945659569149394,0.124769,False,27.49365769179255,Intermediate
user_0100,0.6381407477152442,0.43872441531573675,0.5058461986667508,0.5534645257163614,0.209604,False,24.991781065802495,Intermediate
user_0101,0.43615110492642617,0.6366644870054438,0.5641613110351956,0.492203052643426,0.186403,False,47.72674945844135,Intermediate
user_0102,0.4258149577853306,0.6207736996425011,0.5309521702009283,0.4978503555367008,0.188542,False,20.411139053429075,Intermediate
user_0103,0.4568627898952932,0.28174587579045784,0.20412528077523828,0.6305892458115153,0.238812,False,51.408638117434,Intermediate
user_0104,0.5708017153906192,0.6075499058773783,0.39324089763092734,0.881878081729164,0.333978,False,43.72845984293912,Intermediate
user_0105,0.6576118691790073,0.1495753946939162,0.6700320583403488,0.14680275915677135,0.055596,False,25.182868507164358,Intermediate
user_0106,0.7541257623297952,0.3545284946067841,0.6194054728504916,0.43163821274066994,0.163466,False,31.60370895738038,Intermediate
user_0107,0.43542247816317764,0.28836963151948813,0.35538403605504537,0.35331530638525793,0.133805,False,53.19939275135747,Intermediate
user_0108,0.3610867138007691,0.1193402274120401,0.5695993983136649,0.07565346920665142,0.028651,False,41.278404960062886,Intermediate
user_0109,0.3986359073417118,0.5132858828740476,0.32948899600618403,0.6210046044795599,0.235182,False,40.91383492798133,Intermediate
user_0110,0.37392080873821615,0.5654300606457472,0.49604274833383794,0.426225494217418,0.161417,False,42.51055931605546,Intermediate
user_0111,0.5858031859146313,0.5506913758088303,0.35560082222231687,0.9071878979032314,0.343563,False,35.658559199014974,Intermediate
user_0112,0.43473369579256205,0.44443919566696066,0.5636402018692874,0.342794380966067,0.12982,False,25.02292287479623,Intermediate
user_0113,0.4174359989418678,0.4422504082272398,0.45211973252975685,0.4083237860639853,0.154637,False,24.43208001886525,Intermediate
user_0114,0.44391466979287564,0.669804948996484,0.4408985090303602,0.6743870452483965,0.255398,False,43.743183197639055,Intermediate
user_0115,0.4075157042533458,0.3360352896340143,0.21691264070329694,0.6313124825975205,0.239085,False,50.82188746582833,Intermediate
user_0116,0.3589662998393188,0.6457547855338441,0.5685093071094719,0.40774038888686265,0.154416,False,29.80759191945691,Intermediate
user_0117,0.726696522143129,0.33278578712975326,0.35702233974045217,0.6773645433550849,0.256526,False,37.12252851553753,Intermediate
user_0118,0.37385192151741464,0.41979402112481,0.3565525378593906,0.440161784799645,0.166694,False,54.720562368498086,Intermediate
user_0119,0.5814929173082449,0.26928215211241535,0.4568172483734197,0.3427752887362343,0.129813,False,28.25780306846808,Intermediate
user_0120,0.38342358854636943,0.31407614999929795,0.5608751382826007,0.2147076885566678,0.081312,False,33.04770142799093,Intermediate
user_0121,0.5518394201787414,0.5016698542592962,0.3948590608002876,0.7011139643965899,0.26552,False,32.08677745810671,Intermediate
user_0122,0.7543045168571175,0.19270199679509592,0.3501375823271682,0.41513963060985026,0.157218,False,20.173090101745323,Intermediate
user_0123,0.3882567861262089,0.5261033578890545,0.3491188114205191,0.5850821904242013,0.221578,False,37.34261106342751,Intermediate
user_0124,0.33733506649993067,0.5233191735932523,0.4438289230137088,0.39775214969330835,0.150633,False,26.512403914059725,Intermediate
user_0125,0.47046039703648485,0.5029413337044577,0.5360195962083114,0.4414278530382384,0.167174,False,23.62951349393139,Intermediate
user_0126,0.30521200063477727,0.2851570119347738,0.49191866261355444,0.17692628623854376,0.067004,False,44.574975977754,Intermediate
user_0127,0.34389030325694403,0.3135652115888542,0.3301328746176321,0.32663222597571534,0.123699,False,46.56737597710902,Intermediate
user_0128,0.8488377408382459,0.2649473491184166,0.558982593874397,0.40233329576142945,0.152368,False,51.00009526037586,Intermediate
user_0129,0.6215712902088891,0.35470613335321544,0.48362384647440454,0.4558814677163213,0.172648,False,52.62876614309395,Intermediate
user_0130,0.3492156616691006,0.45624207741229866,0.45588733841255363,0.3494873963808984,0.132355,False,50.28637456477968,Intermediate
user_0131,0.6701098917014969,0.49737482072133415,0.5278518271300292,0.6314192167540262,0.239126,False,23.409808144915957,Intermediate
user_0132,0.3896599827464701,0.43411161062243075,0.480807418216409,0.3518163744907998,0.133237,False,27.050638025656497,Intermediate
user_0133,0.5623233610532327,0.3171040434502336,0.5096372215562739,0.34988616210563855,0.132506,False,23.4091106095932,Intermediate
user_0134,0.47889108339199415,0.27544652756499344,0.5022035411607402,0.2626602068501593,0.099473,False,31.726883114005375,Intermediate
user_0135,0.6322958320922248,0.5722816821401339,0.23673889539393767,1.5284827691613883,0.578854,False,23.466586442261423,Intermediate
user_0136,0.5756644043946283,0.48342582300129994,0.22568080584914624,1.2331178870969064,0.466996,False,42.51798267811809,Intermediate
user_0137,0.4455492976361288,0.6000601890624507,0.5575311614107787,0.4795362381174499,0.181606,False,44.80175772535482,Intermediate
user_0138,0.36675309845190895,0.4702663817076744,0.2008250518028544,0.8588154268640218,0.325244,False,24.745372944326355,Intermediate
user_0139,0.3172534490421861,0.19355806669813372,0.3190935888678028,0.19244186154852738,0.07288,False,41.37673781371562,Intermediate
user_0140,0.5676216252935712,0.5964867602906581,0.45355808185644286,0.7464948765910091,0.282706,False,19.82761863782171,Intermediate
user_0141,0.2441101690577991,0.3649164402417649,0.5088861688365498,0.1750486049228805,0.066293,False,34.637329700583535,Intermediate
user_0142,0.48424679606932247,0.6305487309309817,0.4291417734307108,0.7115159176369614,0.269459,False,29.27220594697712,Intermediate
user_0143,0.4869077062944523,0.3323994566896326,0.4210514372946588,0.38438975073966397,0.145573,False,54.9458155708402,Intermediate
user_0144,0.4644807441071712,0.776011724459244,0.3163613037679313,1.1393381520425252,0.431481,False,52.22024628339136,Intermediate
user_0145,0.5246050645663831,0.4235795191290238,0.7755318495368081,0.28652847863617303,0.108512,False,24.312356420185598,Intermediate
user_0146,0.3960116271777245,0.40064001806000193,0.42688067204047403,0.3716685150116409,0.140755,False,52.02534849035337,Intermediate
user_0147,0.31256562304018004,0.5378055220790573,0.5898189050230825,0.28500191609916486,0.107934,False,34.07643414616051,Intermediate
user_0148,0.5549567873031864,0.09864215232380655,0.4208657950999009,0.13007028032130072,0.049259,False,39.759332592943274,Intermediate
user_0149,0.4204145697026502,0.36659136316143265,0.39255623192437106,0.3926070653488291,0.148685,False,38.21551933815287,Intermediate
user_0150,0.582186353323408,0.6614383068810663,0.5487505831866893,0.7017402215689122,0.265757,False,45.141635863207355,Intermediate
user_0151,0.49830014633885406,0.2625824353502917,0.12589443756174348,1.039322058187771,0.393604,False,31.058444573109583,Intermediate
user_0152,0.5574968441184456,0.45940815073201113,0.9068296875314423,0.28243296146665575,0.106961,False,21.508573104185036,Intermediate
user_0153,0.42699510888321485,0.37438071232419895,0.6018185425210458,0.2656261343377544,0.100596,False,34.03456983264508,Intermediate
user_0154,0.40343001679696255,0.2349586599140141,0.4074726344455424,0.23262758797209698,0.088099,False,38.60219981912502,Intermediate
user_0155,0.7814530012217807,0.5143595643214234,0.48805067071144576,0.8235780613930369,0.311899,False,38.976902483709736,Intermediate
user_0156,0.8070068990835246,0.3860158138445408,0.307608489610955,1.0127075014147846,0.383524,False,47.533514699498824,Intermediate
user_0157,0.7233283700572213,0.21801885318664127,0.380818970627951,0.4141054776163065,0.156827,False,20.59213057954335,Intermediate
user_0158,0.5316778333464912,0.47232739421886794,0.5992225417747357,0.4190863795689565,0.158713,False,54.5713970316058,Intermediate
user_0159,0.48240159680859757,0.1880028481966527,0.57410894054432,0.1579715412350878,0.059826,False,54.66034010410397,Intermediate
user_0160,0.26949697319455507,0.507339009327147,0.4065645421752049,0.336296733270629,0.12736,False,22.5646055958101,Intermediate
user_0161,0.543510063218079,0.2748218043888791,0.348545053140652,0.42854837539992297,0.162296,False,31.384629473113925,Intermediate
user_0162,0.3838733235058664,0.7456515465935478,0.43941593192513184,0.6514004535841995,0.246693,False,40.25118432494982,Intermediate
user_0163,0.28229025969241056,0.31412450029248234,0.4304441642498789,0.20600647918608292,0.078017,False,32.4397298670382,Intermediate
user_0164,0.5237131062858109,0.3856877952560322,0.6358452255592536,0.31767125896463827,0.120306,False,36.55448876100106,Intermediate
user_0165,0.8062756168448014,0.4572879784654082,0.2889750574379528,1.275889172518201,0.483194,False,30.733420842003234,Intermediate
user_0166,0.29102783541993743,0.30974100272169314,0.2894753042097832,0.3114022241343543,0.117932,False,44.63679965040466,Intermediate
user_0167,0.485263965059535,0.5583849100475393,0.34858081090134124,0.7773350310891657,0.294386,False,32.10462080274608,Intermediate
user_0168,0.4391869016884008,0.4195392141523691,0.25240575577169183,0.7299997063736945,0.27646,False,34.47591106291009,Intermediate
user_0169,0.5577014259298754,0.15546282170256187,0.05271050455467113,1.6448682871679576,0.622931,False,39.73267849463136,Intermediate
user_0170,0.5898677939959726,0.19646843424868232,0.602223786119754,0.1924374369979931,0.072878,False,53.89124545838045,Intermediate
user_0171,0.39321687559753693,0.5814064682226074,0.48968053147147556,0.46687344134286796,0.17681,False,42.104960862169676,Intermediate
user_0172,0.41865006710967373,0.37181321553052316,0.3102347605487749,0.5017478613897761,0.190018,False,22.48916137769961,Intermediate
user_0173,0.6019880410474767,0.37475535668098736,0.24333029634604494,0.9271276385559822,0.351114,False,30.480422347172734,Intermediate
user_0174,0.36650791581736447,0.3676100319853267,0.5563565162178208,0.2421684346800163,0.091712,False,34.10972359352667,Intermediate
user_0175,0.3105151617921931,0.27629159586109564,0.31328685433092573,0.2738472055390114,0.103709,False,45.64625752678548,Intermediate
user_0176,0.5258141543524597,0.37153372863295114,0.36419983584711524,0.5364024749768399,0.203142,False,35.08751986385668,Intermediate
user_0177,0.47676035629074376,0.36380403161433233,0.35849207973486974,0.4838247468695394,0.18323,False,42.72775191676246,Intermediate
user_0178,0.503201541949907,0.7356847184072256,0.45122109489186857,0.8204352342618508,0.310709,False,49.22181122805273,Intermediate
user_0179,0.6552314911882116,0.42079913592652307,0.28595828894050374,0.9641995213547139,0.365154,False,22.756153013808813,Intermediate
user_0180,0.6154069747357566,0.4010975231906581,0.5827028349954156,0.42360908253125257,0.160426,False,46.56662487797363,Intermediate
user_0181,0.4736061040220821,0.39107789018680633,0.3799754157851964,0.48744436678307057,0.184601,False,45.84087272206003,Intermediate
user_0182,0.4898169741904608,0.40260692584728125,0.6122653457891648,0.322088629648731,0.121979,False,48.5096456583038,Intermediate
user_0183,0.3367105436749861,0.37184284339776896,0.3323281645669485,0.37674629872332976,0.142678,False,53.418392908104124,Intermediate
user_0184,0.25918019652585694,0.5054721729228832,0.5646657831487828,0.23201047597740773,0.087865,False,30.14552711483715,Intermediate
user_0185,0.49212403882908234,0.3613517265260089,0.21797264718922574,0.815835717870896,0.308967,False,34.444737737683724,Intermediate
user_0186,0.5861445327507148,0.5838635938339415,0.6190722349186237,0.5528085966299784,0.209355,False,28.456551966739344,Intermediate
user_0187,0.6695592088323965,0.3501654640246807,0.6958493274510346,0.3369357442819292,0.127602,False,30.7758025729028,Intermediate
user_0188,0.6908243340568366,0.5414328204489334,0.06024949538194903,6.208101250507925,2.351081,True,30.87373452429922,Intermediate
user_0189,0.6917078284168358,0.5486583387501333,0.5655651197206651,0.6710301869872835,0.254127,False,50.31190067809146,Intermediate
user_0190,0.5918671197991786,0.30299534403086814,0.3364358493885441,0.5330376709558158,0.201868,False,21.264339436533994,Intermediate
user_0191,0.41042654446825927,0.19962042418236986,0.7556783811093024,0.10841850574339482,0.041059,False,26.29714981149371,Intermediate
user_0192,0.4212387979716819,0.6562988193348154,0.3146830714998919,0.8785300221239472,0.33271,False,40.980095714993034,Intermediate
user_0193,0.6153818046183048,0.3552807988638789,0.565727040353085,0.38646436100107934,0.146359,False,46.54701215454088,Intermediate
user_0194,0.5239605872593218,0.4189218219632837,0.43846802416673647,0.5006032635304744,0.189584,False,44.10557394340918,Intermediate
user_0195,0.6295964039942913,0.28955950797146424,0.326119702747811,0.5590144459998098,0.211705,False,20.676724324547468,Intermediate
user_0196,0.5135291542305529,0.31233975972192596,0.5158945113337994,0.3109076935668229,0.117744,False,35.3365977265252,Intermediate
user_0197,0.47771324815883665,0.6000112145597727,0.19494391827290283,1.4703372579072638,0.556834,False,25.64104917367319,Intermediate
user_0198,0.4976530249177871,0.6038926790846346,0.41929440394862527,0.7167494143542104,0.271441,False,54.57311943814578,Intermediate
user_0199,0.4102717080549305,0.4487998081630556,0.36207569989505495,0.5085396891400077,0.19259,False,54.96011067514059,Intermediate
user_0200,0.7372620766985877,0.3699946083362342,0.5074255035200606,0.5375823473927309,0.203589,False,20.83234754503359,Intermediate
user_0201,0.4220025864708488,0.49202190340797014,0.41973229712608257,0.4946831998875288,0.187342,False,43.03806862370346,Intermediate
user_0202,0.5582370725420565,0.319754770735151,0.46572329245584737,0.38327257845595003,0.14515,False,48.2703378570833,Intermediate
user_0203,0.406371408892627,0.4311191630608809,0.511411186105533,0.34257072675275396,0.129736,False,30.69207528259049,Intermediate
user_0204,0.7277107586232752,0.26209588771662945,0.358479723863689,0.5320523995796029,0.201495,False,43.97091170483465,Intermediate
user_0205,0.2919606367443312,0.24528898716348585,0.43952386281747763,0.16293706653275178,0.061706,False,25.756067253358058,Intermediate
user_0206,0.3643522288071613,0.4543920058596573,0.6736728785876291,0.24575538863048868,0.09307,False,23.60652951782155,Intermediate
user_0207,0.6202236484076409,0.4284765491980279,0.4303569657124859,0.6175136218853741,0.23386,False,52.310865404255956,Intermediate
user_0208,0.529004788865565,0.4145439898833602,0.3569865245577767,0.6142970133547544,0.232642,False,42.131286081358866,Intermediate
user_0209,0.4124426077969264,0.3371383891823189,0.5518079780039122,0.25199026104299066,0.095432,False,48.41010064800918,Intermediate
user_0210,0.590147137132827,0.4523362703091879,0.3547420066376264,0.7525044960829677,0.284982,False,38.17767424576484,Intermediate
user_0211,0.4753133448014305,0.32117519447209447,0.672994432584424,0.22683524344405448,0.085905,False,24.570112847320154,Intermediate
user_0212,0.43167441465334894,0.1514323720562511,0.6044244685268817,0.10815161193965304,0.040958,False,32.55958665891038,Intermediate
user_0213,0.43452290115103004,0.382378193675635,0.33168046653478606,0.5009402084744163,0.189712,False,50.73965030618601,Intermediate
user_0214,0.679356007434675,0.25325612138137843,0.33786959340418055,0.5092232945455571,0.192849,False,19.561836793509578,Intermediate
user_0215,0.5949794477376509,0.5129605339912502,0.5411563174576085,0.5639793260830452,0.213586,False,26.45839475362417,Intermediate
user_0216,0.5742675397659432,0.6109230769771115,0.5856503568068879,0.5990490543106923,0.226867,False,28.11831753066884,Intermediate
user_0217,0.5068988240297209,0.6920575060009976,0.5653213118391535,0.620537610392899,0.235005,False,28.467847914331976,Intermediate
user_0218,0.48190836392378095,0.060150307701133054,0.3940688523255651,0.07355805007856113,0.027857,False,22.549121015787264,Intermediate
user_0219,0.3823944993272273,0.4715816286237727,0.41010278256944027,0.4397195738094553,0.166527,False,49.53590896493853,Intermediate
user_0220,0.6743720939239151,0.40095493171031715,0.3789950640850317,0.7134468031117718,0.270191,False,24.74250112015511,Intermediate
user_0221,0.32544469820016875,0.49618186188497865,0.39820531457382774,0.40551883760360047,0.153575,False,48.868277889118744,Intermediate
user_0222,0.7254122439267836,0.34412900387724715,0.3231266118439476,0.7725621590816013,0.292578,False,31.78222399595098,Intermediate
user_0223,0.5230027494437641,0.20812315452656538,0.6610266735743686,0.1646665503703869,0.062361,False,35.463451299313476,Intermediate
user_0224,0.681118779462322,0.33712520847578653,0.49328289928984925,0.46549821786561524,0.17629,False,35.66263022577863,Intermediate
user_0225,0.4440082220169767,0.5879896253464686,0.48191388873082597,0.5417404109312489,0.205163,False,44.67335759993069,Intermediate
