caso_id,descripcion,dominio,mecanismo,trigger_año,tipo_trigger,a,b,r2,r_pearson,p_value,tipo,n_puntos
D01_HackerEarth_Elite_Basic,Usuarios Basic → Elite HackerEarth (2024-2026),D,Adopcion agente IA (2024),2024,abrupto,56.8107,2.5706,0.272,0.7776,0.121619,Satelizacion acelerada,5
D02_Yahoo_Google,Yahoo → Google en busqueda (1998-2016),D,Algoritmo PageRank + AdWords (1998-2000),2000,abrupto,0.0038,2.9427,0.9471,0.9511,0.003535,Satelizacion acelerada,6
D03_MySpace_Facebook,MySpace → Facebook (2004-2011),D,Red de colegios + News Feed algoritmo (2006),2006,abrupto,0.1911,2.6409,0.2285,0.8436,0.034793,Satelizacion acelerada,6
D04_Nokia_Apple,Nokia → Apple/Android (2007-2015),D,iPhone (2007) + App Store (2008),2007,abrupto,0.0445,2.833,0.4669,0.9542,0.011703,Satelizacion acelerada,5
D05_Blackberry_iPhone,Blackberry → iPhone (2007-2016),D,Touchscreen + App Store (2007-2008),2007,abrupto,0.1734,2.3588,0.2839,0.8988,0.038034,Satelizacion acelerada,5
D06_Blockbuster_Netflix,Blockbuster → Netflix (1999-2010),D,Streaming (2007) + modelo suscripcion,2007,hibrido,4.0077,-2.6831,-0.4082,-0.6277,0.1821,Leapfrog / Convergencia rapida,6
D07_Kodak_Digital,Kodak → Camaras digitales (1990-2012),D,Sensor digital masivo (2000) + smartphones (2007),2000,hibrido,0.1712,1.2662,-0.1804,0.3126,0.494809,Satelizacion acelerada,7
D08_AOL_Google,AOL → Google/Redes Sociales (1997-2015),D,Busqueda + broadband + redes sociales (2000-2004),2001,gradual,0.1391,2.7764,0.3197,0.9375,0.018593,Satelizacion acelerada,5
A16_Venecia_Genova,Génova → Venecia (1200-1400) — luego inversion,A,Cruzadas + comercio Oriente Medio,1204,abrupto,1.2243,-0.0271,0.2022,-0.4605,0.435132,Estado estacionario,5
B16_Corea_Norte_Sur,Corea del Norte vs Sur (1945-1990),B,Division (1945) + sistema economico divergente,1945,abrupto,0.8732,0.3354,0.2643,0.6601,0.153682,Satelizacion gradual,6
C13_Veracruz_CDMX,Veracruz → CDMX (1940-2022),C,Acumulacion diferencial + petroleo no transferido,1940,gradual,0.9943,0.1812,0.674,0.8377,0.018637,Satelizacion gradual,7
C14_Guerrero_CDMX,Guerrero → CDMX (1940-2022),C,Aislamiento geografico + falta inversion,1940,gradual,0.9997,0.279,0.7024,0.8575,0.013616,Satelizacion gradual,7
D09_Netscape_Chrome,Internet Explorer → Chrome (2008-2020),D,Chrome V8 engine + velocidad (2008),2008,abrupto,0.0131,2.6221,0.9563,0.9984,7.5e-05,Satelizacion acelerada,5
B17_Vietnam_Tailandia,Vietnam → Tailandia (1986-2020) — Convergencia,B,Doi Moi reformas de mercado (1986),1986,abrupto,4.4789,-0.167,0.5715,-0.8047,0.029059,Convergencia gradual,7
C15_Puebla_CDMX,Puebla → CDMX (1940-2022),C,Subordinacion historica + industria maquiladora,1940,gradual,1.1223,0.1523,0.7576,0.8763,0.009652,Satelizacion gradual,7
